2018-04-17T13:40:09+03:00 - 404 - Файл не найден - C:\OSPanel\domains\php2.local\App\Model.php - 37
2018-04-17T13:42:13+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-17T13:43:15+03:00 - 0 - Заголовок пустой - C:\OSPanel\domains\php2.local\App\Models\Article.php - 53
2018-04-17T13:43:15+03:00 - 0 - Отсутствует текст новости - C:\OSPanel\domains\php2.local\App\Models\Article.php - 56
2018-04-20T13:05:00+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T13:05:41+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T13:05:59+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T13:06:19+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T13:07:16+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T13:13:44+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T13:14:18+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T13:14:41+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T13:14:42+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T13:15:11+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T13:16:37+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T13:16:51+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T13:17:18+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T13:17:27+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T13:17:35+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T13:24:30+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T13:37:11+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T13:37:45+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T14:23:39+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T14:26:26+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T14:27:07+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T15:13:46+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T15:14:44+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T15:16:10+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T15:17:49+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T15:30:16+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T15:32:10+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T15:33:59+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T15:36:14+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T15:37:15+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
2018-04-20T15:39:39+03:00 - 100 - Ошибка подключения к БД - C:\OSPanel\domains\php2.local\App\Db.php - 24
